Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Agriornis_albicauda	real	0.350490139	1	0.380639594	NA	0.5	0.090672517	NA	1	0.396922793	NA	15.38013142	7.648674334	7.73145709	0.147268618	0.852731382	0.175108775	res	Xolmiini
Agriornis_lividus	real	0.105922208	0.0099	0.235698646	NA	1	0.244738633	NA	0.5	0	NA	14.8016626	7.344046255	7.457616349	0.759307547	0.240692453	0.585708666	res	Xolmiini
Agriornis_micropterus	real	0.259243952	0.07921	0.306351704	NA	0.5	0.096308062	NA	0.5	0.009891284	NA	14.98722762	7.150797072	7.836430546	0.713215611	0.286784389	0.513129485	mig	Xolmiini
Agriornis_micropterus	hypo_br	0.294416851	0.0099	0.26252432	NA	0.5	0.28726307	NA	0.5	0.131157612	NA	NA	NA	NA	0.465182673	0.534817327	0.61350634	mig	Xolmiini
Agriornis_micropterus	hypo_wi	0.323879663	0.91089	0.263759947	NA	0.5	0.071237571	NA	0.5	0.056595488	NA	NA	NA	NA	0.61779614	0.38220386	0.535619274	mig	Xolmiini
Agriornis_montanus	real	0.392631452	0.0099	0.255449533	NA	0.5	0.357041442	NA	0.5	0.303090776	NA	15.91491527	7.818503953	8.096411321	0.365933991	0.634066009	0.416641754	mig	Xolmiini
Agriornis_montanus	hypo_br	0.341297745	0.0099	0.288098664	NA	1	0.34815892	NA	0.5	0.055235055	NA	NA	NA	NA	0.408312753	0.591687247	0.47106157	mig	Xolmiini
Agriornis_montanus	hypo_wi	0.347877001	0.0099	0.254770046	NA	0.5	0.048244752	NA	0.5	0.174279845	NA	NA	NA	NA	0.479295698	0.520704302	0.409780108	mig	Xolmiini
Agriornis_murinus	real	0.016420804	1	0.347311235	NA	1	0.02086284	NA	1	0.229281135	NA	14.06952957	6.830113418	7.239416152	0.9865263	0.0134737	0.981089186	mig	Xolmiini
Agriornis_murinus	hypo_br	0.091326676	1	0.234648396	NA	1	0.13410438	NA	0.5	0.028374007	NA	NA	NA	NA	0.762421298	0.237578702	0.852285438	mig	Xolmiini
Agriornis_murinus	hypo_wi	0.020382861	1	0.259249129	NA	0.5	0	NA	1	0.182070276	NA	NA	NA	NA	0.971802802	0.028197198	0.973748978	mig	Xolmiini
Cnemarchus_erythropygius	real	0.431045351	0.76238	0.503659033	NA	0.5	0.142736496	NA	0.5	0.157764305	NA	14.72676033	7.283499997	7.443260329	0.145008055	0.854991945	0.047469134	res	Xolmiini
Heteroxolmis_dominicana	real	0.194694228	0.0099	0.245233587	NA	0.5	0.185045114	NA	0.5	0.004091263	NA	12.51116604	6.389153899	6.122012144	0.606210822	0.393789178	0.664173979	res	Xolmiini
Hymenops_perspicillatus	real	0.038161613	1	0.190094911	NA	0.5	0.002281496	NA	1	0.165055522	NA	14.95149425	7.303799254	7.647694996	0.839749403	0.160250597	0.823004574	mig	Xolmiini
Hymenops_perspicillatus	hypo_br	0.069761	1	0.199272605	NA	0.5	0.034226543	NA	1	0.376681728	NA	NA	NA	NA	0.746400134	0.253599866	0.736661795	mig	Xolmiini
