Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Alopochelidon_fucata	real	0.737750883471444	0.5	0.721968531541872	NA	0.5	0.00776710172259032	NA	1	0.744907905828884	NA	14.92989643409	7.62945591469278	7.30044051939725	0.00396430397379193	0.996035696026208	0.0444051655076373	mig	Hirundinidae
Alopochelidon_fucata	hypo_br	0.741785684366574	1	0.752579425598447	NA	0.5	0.559131681806809	NA	0.5	0.183547545570455	NA	NA	NA	NA	0.00703645842675625	0.992963541573244	0.0352703912835898	mig	Hirundinidae
Alopochelidon_fucata	hypo_wi	0.785052054214644	0.5	0.745500508341902	NA	0.5	0.188593233331466	NA	0.5	0.303060769352467	NA	NA	NA	NA	0.00517916924946584	0.994820830750534	0.0489316808268058	mig	Hirundinidae
Atticora_fasciata	real	0.465283198145076	0.5	0.388660979905237	NA	0.5	0.00246515748099652	NA	0.5	0.0844314259143787	NA	12.746902145795	6.07189934380212	6.67500280199292	0.132612429638184	0.867387570361816	0.0114636681627573	res	Hirundinidae
Atticora_melanoleuca	real	0.475551693809207	0.5	0.345662772002293	NA	0.5	0.268273255449011	NA	0.5	0.182318273626323	NA	12.5995174338179	6.02042555081137	6.5790918830065	0.156654062552714	0.843345937447286	0.0322444047020847	res	Hirundinidae
Cecropis_abyssinica	real	0.616380701537212	0.5	0.60386853658058	NA	0.5	0.180690616566173	NA	0.5	0.325677680658341	NA	15.3577137341639	7.86979332918052	7.48792040498341	0.00351417877515596	0.996485821224844	0.0762158523601575	mig	Hirundinidae
Cecropis_abyssinica	hypo_br	0.698955433115342	0.5	0.565914532823637	NA	0.5	0.660474595186945	NA	0.5	0.0984753048920924	NA	NA	NA	NA	0.00410061394305653	0.995899386056943	0.0627386978948152	mig	Hirundinidae
Cecropis_abyssinica	hypo_wi	0.682856693710994	0.5	0.596541499633754	NA	0.5	0.400182822685579	NA	0.5	0.249624075901477	NA	NA	NA	NA	0.0021041117961354	0.997895888203865	0.0776272983957662	mig	Hirundinidae
Cecropis_badia	real	0.418854076082191	1	0.672398365157722	NA	0.5	0.114836513337612	NA	0.5	0.106187124155606	NA	10.6517494475364	5.25804266241936	5.39370678511701	0.345175257764423	0.654824742235577	0.301582074636433	res	Hirundinidae
Cecropis_cucullata	real	0.429000679582974	1	0.504812410587538	NA	0.5	0.0161304281121986	NA	0.5	0.0604655845390489	NA	14.8790733455334	7.39671659148976	7.4823567540436	0.140755929345227	0.859244070654773	0.0321507111397003	mig	Hirundinidae
Cecropis_cucullata	hypo_br	0.260479683586832	1	0.47424706030582	NA	0.5	0.0321819272722796	NA	1	0.319497186546647	NA	NA	NA	NA	0.401251730531864	0.598748269468136	0.0457310601673139	mig	Hirundinidae
Cecropis_cucullata	hypo_wi	0.265097317900881	1	0.384464947563743	NA	1	0.473735453143534	NA	0.5	0.192212059664087	NA	NA	NA	NA	0.387544692031106	0.612455307968894	0.156192923637609	mig	Hirundinidae
Cecropis_domicella	real	0.386720106987552	0.5	0.348413382638652	NA	0.5	0.00976066232685024	NA	0.5	0.0267711420722465	NA	14.3280968070263	7.00175771198115	7.32633909504517	0.293288187779465	0.706711812220535	0.0735834609507399	mig	Hirundinidae
Cecropis_domicella	hypo_br	0.3436466927159	0.5	0.247739594943467	NA	1	0.412783522243195	NA	0.5	0.115343925511889	NA	NA	NA	NA	0.287291037873346	0.712708962126654	0.1201941948795	mig	Hirundinidae
Cecropis_domicella	hypo_wi	0.260797132986684	0.5	0.203123057748596	NA	0.5	0.111355735921609	NA	0.5	0.0401481426253265	NA	NA	NA	NA	0.257843227911397	0.742156772088603	0.0986054410041835	mig	Hirundinidae
Cecropis_hyperythra	real	0.250777977024256	1	0.548202782044442	NA	0.5	0.0373125307782712	NA	0.5	0.213664848252623	NA	10.7739508658883	4.94082110644289	5.83312975944541	0.686597089108071	0.313402910891929	0.364051370673179	mig	Hirundinidae
