Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Amaurospiza_concolor	real	0.192525940241652	1	0.587249168214296	0.00483129610770741	0.138613861386139	0.0648143428749362	0.0116574384406129	0.405940594059406	0.152160599447304	0.0137384413346177	13.9922041253683	7.09278990657021	6.89941421879813	0.0850837712414754	0.914916228758525	0.321047328829795	res	Cardinalidae
Amaurospiza_moesta	real	0.271069270190818	1	0.72116398424694	0.00379649476655376	0.0792079207920792	0.062534208795297	0.0124480085541497	0.138613861386139	0.0964646324159912	0.0152929081935209	12.5651186901614	6.46675213090246	6.09836655925898	0.220073517207189	0.779926482792811	0.533361451809327	res	Cardinalidae
Cardinalis_cardinalis	real	0.393584338098254	0.0099009900990099	0.347428611791062	0.00118904932515762	0.247524752475248	0.242025125656071	0.0194970561698346	0.0891089108910891	0.106105021933854	0.0147059196153587	14.5804539764241	7.3647887594643	7.21566521695976	0.1946045753055	0.8053954246945	0.249757446700141	res	Cardinalidae
Cardinalis_phoeniceus	real	0.177325976486729	1	0.51366470528056	0.0100798658816659	0.207920792079208	0.090716178188777	0.0141926618960656	0.138613861386139	0.055243074059636	0.0101272034978785	11.2217466752237	5.95437705043883	5.26736962478486	0.372871177502077	0.627128822497923	0.607821877996833	res	Cardinalidae
Cardinalis_sinuatus	real	0.00389863855550299	1	0.14385358282298	0.000676846960957543	0.0396039603960396	0.000379050612636981	0.000200650807021848	0.881188118811881	0.0938829573386982	0.00742396095948207	13.8408933880982	7.30459231701878	6.53630107107941	0.94207696994239	0.0579230300576095	0.973824153939203	res	Cardinalidae
Caryothraustes_canadensis	real	0.569291465081687	0.0099009900990099	0.35549552555203	0.00169216852705377	0.0693069306930693	0.220063884991086	0.0184041115294029	0.0594059405940594	0.227870833931016	0.018579836255467	14.1474415023687	7.11442628522518	7.03301521714351	0.0473301158834362	0.952669884116564	0.168773162716687	res	Cardinalidae
Caryothraustes_poliogaster	real	0.42520209109833	0.0099009900990099	0.274195796424129	0.00208630405753161	0.0099009900990099	0.011038249088613	0.00503619848022593	0.0396039603960396	0.113983236676875	0.0133610931580922	13.3008544458541	6.64451839036445	6.65633605548968	0.361802326949337	0.638197673050663	0.343744653258671	res	Cardinalidae
Chlorothraupis_carmioli	real	0.123799103413203	1	0.318388316831809	0.0061277132041796	0.554455445544555	0.192088764282175	0.0181421354935892	0.277227722772277	0.0903965561387918	0.0118085278371509	13.1878890458272	6.64411021118242	6.54377883464483	0.757089416451269	0.242910583548731	0.79504472199239	res	Cardinalidae
Chlorothraupis_stolzmanni	real	0.437237700413235	0.544554455445545	0.445509632137852	0.00736195166213312	0.0198019801980198	0.101844735663055	0.0118706309252713	0.0297029702970297	0.129826141301859	0.0141059195420345	13.5681995147141	6.55272304824273	7.01547646647139	0.486786215320983	0.513213784679017	0.112802855585235	res	Cardinalidae
Cyanocompsa_brissonii	real	0.2252591043374	1	0.305013293972903	0.00111282797449357	0.247524752475248	0.13304536314449	0.0155792052729831	0.356435643564356	0.20630236048735	0.0223933955342726	14.1066888862905	7.02646474311142	7.08022414317903	0.512725195439838	0.487274804560162	0.340953419679948	res	Cardinalidae
Cyanocompsa_cyanoides	real	0.66483789577272	0.0099009900990099	0.274396703121109	0.00106463652229791	0.0198019801980198	0.180435334669627	0.0184416866967739	0.0495049504950495	0.111323383156883	0.0185070353694286	13.3465323095187	6.77631611380538	6.57021619571337	0.00649421759396337	0.993505782406037	0.11039212674735	res	Cardinalidae
Cyanocompsa_parellina	real	0.381658510538524	0.0099009900990099	0.226115216565615	0.00150968747791444	0.0099009900990099	0.0217035794796854	0.00587779520497994	0.178217821782178	0.155441295644563	0.0177819050657429	13.2116949443792	6.6202038123638	6.5914911320154	0.374129492453269	0.625870507546731	0.348879407050289	res	Cardinalidae
Cyanoloxia_glaucocaerulea	real	0.194374470474889	1	0.267473322115013	0.00188978675475126	0.366336633663366	0.160229231775124	0.0169707783101235	0.168316831683168	0.0825812499943243	0.0145215655837595	12.7556034965088	6.42794455770066	6.32765893880812	0.575341004578063	0.424658995421937	0.607997240726004	mig	Cardinalidae
Cyanoloxia_glaucocaerulea	hypo_br	0.189928024340672	1	0.232394678219477	0.0017402320439362	0.405940594059406	0.182834382509061	0.0193118665758845	0.158415841584158	0.0858869945397529	0.0143642562506483	NA	NA	NA	0.571268046119323	0.428731953880677	0.633255802193946	mig	Cardinalidae
Cyanoloxia_glaucocaerulea	hypo_wi	0.200707829685315	1	0.257947822966324	0.0020346609337852	0.386138613861386	0.177800466129129	0.0184739537233421	0.188118811881188	0.0918777847293094	0.0149635844961966	NA	NA	NA	0.562078626594631	0.437921373405368	0.633821527157731	mig	Cardinalidae
Granatellus_pelzelni	real	0.391791548923468	0.0099009900990099	0.320426870396539	0.00130735051914729	0.128712871287129	0.152017978282277	0.0164772352070746	0.158415841584158	0.203738254338515	0.0162109225396885	13.8038538319148	6.92485726814264	6.87899656377218	0.06191191133548	0.93808808866452	0.427114381501408	res	Cardinalidae
Granatellus_venustus	real	0.00611035516103475	1	0.262274244206028	0.00312862467105338	0.0693069306930693	0.00351668800650823	0.00193232335368354	0.772277227722772	0.12361514559418	0.0150106401407864	12.2316529393217	6.21024295439552	6.02140998492623	0.875520301943468	0.124479698056532	0.957525573315976	res	Cardinalidae
Habia_fuscicauda	real	0.262832924357733	1	0.648471631871895	0.00431203152967053	0.277227722772277	0.15642615450836	0.0216119758654241	0.168316831683168	0.14188349117442	0.0118708400869648	13.450543565119	6.66314374326348	6.78739982185554	0.355370170182334	0.644629829817666	0.204870701733138	res	Cardinalidae
Habia_gutturalis	real	0.104721786629007	1	0.422713204801999	0.00748704780668745	0.465346534653465	0.13241767419115	0.0135702575661373	0.386138613861386	0.103231518290352	0.0107587562070107	13.5677392014781	6.59526839258376	6.97247080889434	0.530748296419043	0.469251703580957	0.193068587608254	res	Cardinalidae
Habia_rubica	real	0.535856618775503	0.0099009900990099	0.362894649844819	0.00151404566643086	0.0297029702970297	0.111864526341393	0.0153126495180418	0.0099009900990099	0.0690757047455147	0.0120299379535314	13.5506504935997	7.02980945615356	6.52084103744618	0.000629747316234411	0.999370252683766	0.109845402290239	mig	Cardinalidae
Passerina_amoena	real	0.26492157866846	0.0099009900990099	0.224272527124089	0.00078891806168222	0.0297029702970297	0.0109820024952102	0.00522006408522516	0.198019801980198	0.120914634533167	0.0142108117692923	13.4011923930828	6.84121922604686	6.55997316703598	0.27321223681001	0.726787763189989	0.566680499435444	mig	Cardinalidae
Passerina_amoena	hypo_br	0.00924066699152393	1	0.152780897212419	0.000754440322779773	0.118811881188119	0.0103319967978405	0.00376431566602271	0.861386138613861	0.114593617169526	0.00750136797098634	NA	NA	NA	0.779101562562204	0.220898437437796	0.904398280103533	mig	Cardinalidae
Passerina_amoena	hypo_wi	0.00434654631216702	1	0.142859270728967	0.000430115962233947	0.297029702970297	0.030782324372414	0.00650551203717274	0.554455445544555	0.0518072611842251	0.00710435296391837	NA	NA	NA	0.992428476870373	0.00757152312962701	0.988313992426194	mig	Cardinalidae
Passerina_caerulea	real	0.180940123360649	1	0.214541277540603	0.000812423843017548	0.0891089108910891	0.0330883940096689	0.00672429554727778	0.108910891089109	0.0679266511790314	0.0073745637048057	14.620010027286	7.40202719044594	7.21798283684011	0.265217322853228	0.734782677146772	0.393450864816872	mig	Cardinalidae
Passerina_caerulea	hypo_br	0.399570736632136	0.0099009900990099	0.251113738064732	0.000984478140719839	0.0099009900990099	0.029129824384491	0.00832394540225457	0.0495049504950495	0.135025380609531	0.0123584155350972	NA	NA	NA	0.264721856837867	0.735278143162133	0.283679349069442	mig	Cardinalidae
Passerina_caerulea	hypo_wi	0.235057047837094	0.871287128712871	0.243340421397957	0.000793244960013304	0.0594059405940594	0.0668738774541952	0.00853250441541161	0.148514851485149	0.17235996013777	0.00728029748495928	NA	NA	NA	0.421931161253832	0.578068838746168	0.382306558379095	mig	Cardinalidae
Passerina_ciris	real	0.117637035357028	1	0.311697249143052	0.00123028133160249	0.207920792079208	0.06833861318564	0.0116240861301616	0.0297029702970297	0.0134654533546204	0.0026167114190381	13.924724266821	7.09036464255607	6.83435962426489	0.632508710365638	0.367491289634362	0.320816911877912	mig	Cardinalidae
Passerina_ciris	hypo_br	0.415300362420968	0.118811881188119	0.391195828677145	0.0019871712391296	0.0396039603960396	0.0468292791790517	0.01104066219252	0.0297029702970297	0.0635562294359411	0.0110020658655315	NA	NA	NA	0.27329015872662	0.72670984127338	0.246785867072439	mig	Cardinalidae
Passerina_ciris	hypo_wi	0.519288231254509	0.267326732673267	0.502273772792192	0.00252444002879822	0.0297029702970297	0.0833446449896762	0.0138873924490318	0.0297029702970297	0.0647863976360831	0.00973318106739436	NA	NA	NA	0.10711775150996	0.892882248490039	0.20606224120727	mig	Cardinalidae
Passerina_cyanea	real	0.236599119142082	0.0099009900990099	0.149872670390343	0.00076025768482676	0.0099009900990099	0.0130148010886032	0.00344626114542276	0.128712871287129	0.114031764023019	0.00967545601713684	13.7447866315187	6.95694989701776	6.78783673450096	0.233476563256499	0.766523436743501	0.379181581924122	res	Cardinalidae
Passerina_cyanea	hypo_br	0.30885438727412	0.0099009900990099	0.256635006434753	0.00101527303137711	0.0198019801980198	0.0148678620391048	0.00530385481419337	0.237623762376238	0.184515857451432	0.014482249556888	NA	NA	NA	0.377496527883461	0.622503472116539	0.423956085877532	res	Cardinalidae
