Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Basileuterus_belli	real	0.232159419116306	1	0.262573042879173	NA	0.5	0	NA	0.5	0	NA	13.5621702280559	6.96376473041104	6.59840549764483	0.31364801619356	0.68635198380644	0.459063604356799	res	Setophaga-Basileuterus clade
Basileuterus_culicivorus	real	0.614772814785169	0.5	0.608934200791036	NA	0.5	0.256415360929591	NA	0.5	0.377213868504381	NA	13.6722641655406	6.91133976587272	6.76092439966789	0.0119032062080557	0.988096793791944	0.0625679205182923	res	Setophaga-Basileuterus clade
Basileuterus_melanogenys	real	0.187054988073387	1	0.408668383511959	NA	1	0.396385402621141	NA	0.5	0	NA	13.5692628479859	6.38488371327611	7.18437913470977	0.817395953618476	0.182604046381524	0.552864821241707	res	Setophaga-Basileuterus clade
Basileuterus_rufifrons	real	0.238206442607391	1	0.513500740817715	NA	0.5	0	NA	0.5	0.150110149459284	NA	14.5103788289891	7.30620502010631	7.20417380888281	0.234942275063868	0.765057724936132	0.152386008558023	res	Setophaga-Basileuterus clade
Basileuterus_trifasciatus	real	0.46354623858459	1	0.610003016029631	NA	1	0.51845476668552	NA	0.5	0.404422893962752	NA	11.1638429927681	5.9524661923276	5.21137680044047	0.109480109997226	0.890519890002774	0.454929116205537	res	Setophaga-Basileuterus clade
Basileuterus_tristriatus	real	0.783333135558502	0.5	0.717098468773094	NA	0.5	0.141998981195687	NA	0.5	0.0770345365951853	NA	14.8530227498718	7.45547815400152	7.39754459587026	0.00792360278847331	0.992076397211527	0.00672792661097962	res	Setophaga-Basileuterus clade
Cardellina_canadensis	real	0.186021523322927	0.5	0.177116961625794	NA	0.5	0.00333211839464564	NA	0.5	0.159192978064358	NA	12.7523577318693	5.7820866464673	6.97027108540204	0.572806601549642	0.427193398450358	0.0863135841278643	mig	Setophaga-Basileuterus clade
Cardellina_canadensis	hypo_br	0.461107599951017	1	0.473483584942409	NA	0.5	0.091154728331633	NA	0.5	0.404147011734646	NA	NA	NA	NA	0.00660268775861832	0.993397312241382	0.0764318745694094	mig	Setophaga-Basileuterus clade
Cardellina_canadensis	hypo_wi	0.00170345390770354	1	0.0479033827881169	NA	0.5	0	NA	0.5	0.000103669324976852	NA	NA	NA	NA	0.998681336460049	0.0013186635399513	0.998713439206444	mig	Setophaga-Basileuterus clade
Cardellina_pusilla	real	0.329701340464952	0.5	0.298535535504168	NA	0.5	0.225696259008632	NA	0.5	0.00489811638640592	NA	13.5591436914424	6.66421915554287	6.89492453589955	0.140721613081092	0.859278386918908	0.0577050277612188	mig	Setophaga-Basileuterus clade
