Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Basileuterus_belli	real	0.232159419116306	0.97029702970297	0.284172167862117	0.00270549758551718	0.0099009900990099	0.0135967098613759	0.00418101886912892	0.267326732673267	0.143208243753858	0.0120979329977405	13.5621702280559	6.96376473041104	6.59840549764483	0.31364801619356	0.68635198380644	0.459063604356799	res	Setophaga-Basileuterus clade
Basileuterus_culicivorus	real	0.614772814785169	0.188118811881188	0.592412157688435	0.00213604228411624	0.0099009900990099	0.118158010038257	0.014655781833552	0.0198019801980198	0.211173893617154	0.0155880814883718	13.6722641655406	6.91133976587272	6.76092439966789	0.0119032062080557	0.988096793791944	0.0625679205182923	res	Setophaga-Basileuterus clade
Basileuterus_melanogenys	real	0.187054988073387	1	0.428534951703844	0.00802429846617742	0.277227722772277	0.132396959327392	0.0138982392578326	0.0693069306930693	0.0283591562883064	0.00668173314626404	13.5692628479859	6.38488371327611	7.18437913470977	0.817395953618476	0.182604046381524	0.552864821241707	res	Setophaga-Basileuterus clade
Basileuterus_rufifrons	real	0.238206442607391	1	0.495596678384792	0.00427548090242722	0.148514851485149	0.0810188103713552	0.0137642686054528	0.316831683168317	0.170268888010282	0.0117938304546006	14.5103788289891	7.30620502010631	7.20417380888281	0.234942275063868	0.765057724936132	0.152386008558023	res	Setophaga-Basileuterus clade
Basileuterus_trifasciatus	real	0.46354623858459	0.940594059405941	0.618699776384784	0.00810318840303015	0.0099009900990099	0.028874827527632	0.00693526774628614	0.0198019801980198	0.0517441587870458	0.0104253952556458	11.1638429927681	5.9524661923276	5.21137680044047	0.109480109997226	0.890519890002774	0.454929116205537	res	Setophaga-Basileuterus clade
Basileuterus_tristriatus	real	0.783333135558502	0.108910891089109	0.732413364926076	0.00405829051166358	0.0099009900990099	0.265097042808314	0.0197001407578835	0.0099009900990099	0.263654886855048	0.0205554994752368	14.8530227498718	7.45547815400152	7.39754459587026	0.00792360278847331	0.992076397211527	0.00672792661097962	res	Setophaga-Basileuterus clade
Cardellina_canadensis	real	0.186021523322927	0.0594059405940594	0.169804107945745	0.000985517349149746	0.158415841584158	0.0705097592010719	0.00940749888577263	0.0792079207920792	0.0551872964654691	0.00697611022144569	12.7523577318693	5.7820866464673	6.97027108540204	0.572806601549642	0.427193398450358	0.0863135841278643	mig	Setophaga-Basileuterus clade
Cardellina_canadensis	hypo_br	0.461107599951017	0.227722772277228	0.442655448857385	0.00266273419298991	0.178217821782178	0.256729656765576	0.0171488086142622	0.0099009900990099	0.149010622587669	0.0114310634792627	NA	NA	NA	0.00660268775861832	0.993397312241382	0.0764318745694094	mig	Setophaga-Basileuterus clade
Cardellina_canadensis	hypo_wi	0.00170345390770354	1	0.0534510069923581	0.000242254763632981	0.613861386138614	0.0935815935779932	0.0156089205241114	0.405940594059406	0.0244405702241732	0.00699422372596161	NA	NA	NA	0.998681336460049	0.0013186635399513	0.998713439206444	mig	Setophaga-Basileuterus clade
Cardellina_pusilla	real	0.329701340464952	0.0198019801980198	0.294554109201092	0.00150680624514633	0.0495049504950495	0.0673558038912874	0.0105681191982818	0.148514851485149	0.141943620206557	0.0138150837074765	13.5591436914424	6.66421915554287	6.89492453589955	0.140721613081092	0.859278386918908	0.0577050277612188	mig	Setophaga-Basileuterus clade
