Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Campicoloides_bifasciatus	real	0.451190776614112	1	0.510906659295742	NA	0.5	0.13396303298085	NA	0.5	0.0291939226536032	NA	12.9217670052604	6.67282385407169	6.24894315118866	0.237372951467413	0.762627048532587	0.445858068522975	res	Oenanthe-Saxicola clade
Emarginata_schlegelii	real	0.624939079513581	0.5	0.458253343819776	NA	0.5	0.00837379872687505	NA	0.5	0.0535020895139947	NA	14.2824097467502	7.27440019552748	7.00800955122274	0.0288060564510661	0.971193943548934	0.264220931574165	res	Oenanthe-Saxicola clade
Emarginata_sinuata	real	0.229433635822719	0.5	0.227104174249386	NA	0.5	0.0496686555739418	NA	0.5	0.0463623978154029	NA	13.5602199257526	7.05806093891754	6.50215898683507	0.56439311875145	0.43560688124855	0.703506806733692	res	Oenanthe-Saxicola clade
Emarginata_tractrac	real	0.551910109619694	0.5	0.446044196846095	NA	0.5	0.0300595511019081	NA	0.5	0.512505490356461	NA	14.479852278567	7.28724827428498	7.19260400428206	0.0695233058214251	0.930476694178575	0.217923339921053	res	Oenanthe-Saxicola clade
Monticola_angolensis	real	0.377277418724125	1	0.610625017410082	NA	1	0.540468672502829	NA	0.5	0.139198274049361	NA	14.120258482615	7.15616878674004	6.96408969587494	0.129365303030767	0.870634696969233	0.508942123057498	res	Oenanthe-Saxicola clade
Monticola_brevipes	real	0.045154602956034	1	0.278423141030183	NA	1	0.474576942341081	NA	0.5	0	NA	13.0546521273269	6.93751734190433	6.1171347854226	0.756828221579258	0.243171778420742	0.914322005353886	res	Oenanthe-Saxicola clade
Monticola_cinclorhynchus	real	0.231133127340284	1	0.424909938265263	NA	0.5	0.0880064546328366	NA	0.5	0	NA	13.2524474491384	7.56394543186163	5.68850201727679	0	1	0.613616894258213	mig	Oenanthe-Saxicola clade
Monticola_cinclorhynchus	hypo_br	0.125087277792403	1	0.169193729952355	NA	0.5	0.084082755633086	NA	1	0.286552464494021	NA	NA	NA	NA	0.0054537310303329	0.994546268969667	0.837428079801536	mig	Oenanthe-Saxicola clade
Monticola_cinclorhynchus	hypo_wi	0.121202562819478	1	0.12403354120032	NA	1	0.162674591255961	NA	0.5	1.11022302462516e-16	NA	NA	NA	NA	0.435301107631745	0.564698892368255	0.830400466507297	mig	Oenanthe-Saxicola clade
Monticola_explorator	real	0.614582955408597	0.5	0.558333248854705	NA	0.5	0.0582618674439395	NA	0.5	0.233642961476796	NA	13.3360468257216	6.87441464774194	6.46163217797968	0.076627826201495	0.923372173798505	0.270175844162483	res	Oenanthe-Saxicola clade
Monticola_gularis	real	0.333886461248502	1	0.685601079324146	NA	1	0.336057042100574	NA	0.5	0.0829744764426913	NA	12.8363326053777	6.53687756354819	6.29945504182955	0.171814227467273	0.828185772532727	0.171267798405307	mig	Oenanthe-Saxicola clade
Monticola_gularis	hypo_br	0.117718524103172	1	0.165932823395618	NA	0.5	0.0022691514188099	NA	0.5	0.0702675094756268	NA	NA	NA	NA	0.760256000764818	0.239743999235182	0.48001708022222	mig	Oenanthe-Saxicola clade
Monticola_gularis	hypo_wi	0	1	0.0558512925916937	NA	1	0	NA	1	0.00212666633761205	NA	NA	NA	NA	1	0	1	mig	Oenanthe-Saxicola clade
Monticola_rufiventris	real	0.305340438064739	0.5	0.184731121990923	NA	0.5	0.00611043831378422	NA	0.5	0.000187650962570896	NA	13.6662182095209	7.14819960168785	6.51801860783302	0.209887958819787	0.790112041180213	0.350060795712826	res	Oenanthe-Saxicola clade
Monticola_rufiventris	hypo_br	0.27757438254599	0.5	0.199991895917508	NA	1	0.285004708542835	NA	0.5	0	NA	NA	NA	NA	0.213458243050834	0.786541756949166	0.371220883463137	res	Oenanthe-Saxicola clade
Monticola_rufiventris	hypo_wi	0.294870000213818	0.5	0.182540421737348	NA	0.5	0.0884418651469637	NA	0.5	0.092680630672285	NA	NA	NA	NA	0.231906338460112	0.768093661539888	0.328242531083744	res	Oenanthe-Saxicola clade
Monticola_rufocinereus	real	0.785376421282829	1	0.819579241258363	NA	0.5	0.223934164566111	NA	0.5	0.223490275636154	NA	13.947388330913	6.98495955428379	6.96242877662924	0.0290678571345935	0.970932142865407	0.0179002812599476	res	Oenanthe-Saxicola clade
Monticola_rupestris	real	0.132827463520473	1	0.334335693193251	NA	0.5	0.13268038691854	NA	1	0.152641494725347	NA	13.0591104581954	6.78446307083241	6.27464738736304	0.710326617037884	0.289673382962116	0.797029410770692	mig	Oenanthe-Saxicola clade
Monticola_saxatilis	real	0.589898316070708	0.5	0.452979242811676	NA	0.5	0.183417785716423	NA	1	0.642553261384674	NA	13.3932228406209	6.69181260136035	6.70141023926052	0.0406490987637947	0.959350901236205	0.0665848638653316	res	Oenanthe-Saxicola clade
Monticola_saxatilis	hypo_br	0.550967624105623	0.5	0.468899414745099	NA	0.5	0.0737331060447429	NA	1	0.606975840121456	NA	NA	NA	NA	0.170835304045716	0.829164695954283	0.116140598782184	res	Oenanthe-Saxicola clade
