Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Cyclarhis_nigrirostris	real	0.538691134590749	0.5	0.47626443400308	NA	0.5	0	NA	0.5	0.0121486850889693	NA	13.9626914771136	7.08395711728564	6.87873435982794	0.0164218899549133	0.983578110045087	0.0630713057747072	res	Vireonidae
Hylophilus_amaurocephalus	real	0.125607139259815	1	0.408524764275654	NA	0.5	0.00345609975569861	NA	1	0.271359051740927	NA	13.3451150093275	6.49594055831554	6.84917445101191	0.858768259729531	0.141231740270469	0.77744443462667	res	Vireonidae
Hylophilus_aurantiifrons	real	0.0820644245835163	1	0.671673072644914	NA	1	0.24187594326401	NA	1	0.169518000135581	NA	12.7807441125614	6.57560566912779	6.20513844343361	0.57727126977742	0.42272873022258	0.761964588760255	res	Vireonidae
Hylophilus_decurtatus	real	0.307315928605748	1	0.523513936481992	NA	0.5	0.111164804816545	NA	0.5	0.207161987437082	NA	14.0807831767771	7.03922746144531	7.04155571533181	0.0599347948143993	0.940065205185601	0.169330292551894	res	Vireonidae
Hylophilus_flavipes	real	0.337063886692185	1	0.50908182837684	NA	0.5	0.249510592096637	NA	0.5	0.0728115625771346	NA	13.5563333405865	6.87187229887789	6.68446104170864	0.0863794092672222	0.913620590732778	0.111695737504833	res	Vireonidae
Hylophilus_muscicapinus	real	0.508343023093046	0.5	0.366478474261329	NA	0.5	0.125423358699439	NA	0.5	0.070699982653196	NA	14.1470599958969	7.11045355742677	7.03660643847013	0.0850360444560566	0.914963955543943	0.328988312910706	res	Vireonidae
Hylophilus_ochraceiceps	real	0.6994114742072	0.5	0.588290258148274	NA	0.5	0.00135176243026081	NA	0.5	0.0528179005312621	NA	13.2679412891785	6.85252987048463	6.41541141869392	0.00310545021963479	0.996894549780365	0.0185277735278916	res	Vireonidae
Hylophilus_olivaceus	real	0.318135088014997	1	0.326657970636527	NA	0.5	0.0978518191514173	NA	0.5	0.0138000632320378	NA	12.839349345649	6.48202410066858	6.3573252449804	0.202655273093135	0.797344726906865	0.228969741752263	res	Vireonidae
Hylophilus_pectoralis	real	0.499874744347183	1	0.520364453393669	NA	0.5	0.479167587889569	NA	0.5	0.07529269915848	NA	14.6088357188381	7.44803110081264	7.1608046180255	0.0199513228995828	0.980048677100417	0.134206034519349	res	Vireonidae
Hylophilus_poicilotis	real	0.619233539932315	1	0.765252271814903	NA	0.5	0.0531675948322895	NA	0.5	0.0463391643674569	NA	13.2023776157542	6.78892283976117	6.41345477599303	0.0616611968616196	0.93833880313838	0.17633027208962	res	Vireonidae
Hylophilus_semibrunneus	real	0.544839874887243	0.5	0.440597756431358	NA	0.5	0.237036147383873	NA	0.5	0.292509726575925	NA	13.9147820117496	6.98660766652514	6.92817434522448	0.0743498648511397	0.92565013514886	0.0896054094127488	res	Vireonidae
Vireo_altiloquus	real	0.0916518116161559	1	0.326766829434398	NA	0.5	0	NA	0.5	0.00785261547760552	NA	11.9095949990253	5.16971767491392	6.73987732411141	0.858906441983915	0.141093558016085	0.0120958926426959	mig	Vireonidae
Vireo_altiloquus	hypo_br	0.548146882580652	0.5	0.524861700523132	NA	0.5	0.15038842470924	NA	0.5	0	NA	NA	NA	NA	0.0458690427309342	0.954130957269066	0.116733089207495	mig	Vireonidae
Vireo_altiloquus	hypo_wi	0.0266268718414672	1	0.251884621445327	NA	0.5	1.11022302462516e-16	NA	0.5	0.00662379833252713	NA	NA	NA	NA	0.988998057972317	0.0110019420276832	0.974783822618398	mig	Vireonidae
Vireo_atricapilla	real	0.00392784966806525	1	0.20442262812479	NA	0.5	0	NA	1	0.0286371072894391	NA	11.645989104192	6.1564066570855	5.48958244710653	0.969829719292171	0.0301702807078292	0.985999516283085	mig	Vireonidae
Vireo_atricapilla	hypo_br	0.00385021897564408	1	0.223586327835643	NA	0.5	0	NA	1	0.02742215230232	NA	NA	NA	NA	0.816759853672592	0.183240146327408	0.95924072237161	mig	Vireonidae
Vireo_atricapilla	hypo_wi	0	1	0.204774855817832	NA	1	0	NA	1	0.0729734473001917	NA	NA	NA	NA	1	0	1	mig	Vireonidae
Vireo_bellii	real	0.150994720712694	1	0.206659929008784	NA	0.5	0.135343505172371	NA	0.5	0.124943017354887	NA	13.590302083719	7.02225224917281	6.56804983454619	0.101188459087411	0.898811540912589	0.407509986745507	mig	Vireonidae
Vireo_bellii	hypo_br	0.150168116729309	1	0.250036300726664	NA	0.5	0.0640673837890022	NA	0.5	0.0949722777942296	NA	NA	NA	NA	0.216504199078385	0.783495800921615	0.429164878228042	mig	Vireonidae
Vireo_bellii	hypo_wi	0.102216504371903	1	0.255212025663293	NA	1	0.161229770100842	NA	1	0.189226550723892	NA	NA	NA	NA	0.414267789804999	0.585732210195001	0.533412025617648	mig	Vireonidae
Vireo_brevipennis	real	0.00918226971671288	1	0.16663952555511	NA	0.5	0	NA	1	0.0142814655840885	NA	12.5409842852891	6.93217798884813	5.60880629644095	0.354086793319478	0.645913206680522	0.871909039745206	res	Vireonidae
Vireo_carmioli	real	0.0189478832832566	1	0.592581178536034	NA	1	0.119005442348271	NA	0.5	0	NA	12.711817749478	6.65537852725866	6.05643922221935	0.969650842727321	0.0303491572726785	0.985761895307174	res	Vireonidae
Vireo_cassinii	real	0.512014959024992	0.5	0.463854991509665	NA	0.5	0.0807223811359479	NA	0.5	0.0234738564437643	NA	13.105449635816	6.59911274401602	6.50633689180001	0.0633097478617584	0.936690252138242	0.122792381834396	mig	Vireonidae
Vireo_cassinii	hypo_br	0.162475165913284	1	0.296621281590103	NA	0.5	0.000492386025635394	NA	0.5	0.0196377885495286	NA	NA	NA	NA	0.177079305230758	0.822920694769242	0.475771404817317	mig	Vireonidae
Vireo_cassinii	hypo_wi	0.166072035985836	1	0.188470331969845	NA	0.5	0.00812174696429424	NA	1	0.207284215852411	NA	NA	NA	NA	0.692150144171375	0.307849855828626	0.124149883253433	mig	Vireonidae
Vireo_flavifrons	real	0.138524823430401	1	0.258697894258633	NA	0.5	0	NA	0.5	0.110389704262091	NA	12.316652822509	5.59733953697934	6.71931328552964	0.497098637709645	0.502901362290355	0.0644626396394802	mig	Vireonidae
Vireo_flavifrons	hypo_br	0.219701567762223	1	0.544812547258128	NA	0.5	0.0467544264195751	NA	1	0.252114893385292	NA	NA	NA	NA	0.195571255163354	0.804428744836646	0.2220478312206	mig	Vireonidae
Vireo_flavifrons	hypo_wi	0.0212003537073349	1	0.0931245813305864	NA	0.5	0	NA	0.5	0.0010180022297902	NA	NA	NA	NA	0.942778833705546	0.057221166294454	0.97589798194642	mig	Vireonidae
Vireo_flavoviridis	real	0.545807513526363	0.5	0.309117265715317	NA	0.5	0.501546313392492	NA	0.5	0.378316664667181	NA	14.0943502004662	7.19957079830393	6.89477940216225	0.13267262027323	0.86732737972677	0.154411983791543	mig	Vireonidae
Vireo_flavoviridis	hypo_br	0.348909698050945	1	0.450191102926217	NA	0.5	0.123581563062292	NA	0.5	0.143113336662362	NA	NA	NA	NA	0.0411894196386579	0.958810580361342	0.069014250049496	mig	Vireonidae
Vireo_flavoviridis	hypo_wi	0.242341342161643	0.5	0.226668028709008	NA	0.5	0.00416596173294059	NA	0.5	0.12196859893447	NA	NA	NA	NA	0.334022134629521	0.665977865370479	0.508959518488149	mig	Vireonidae
Vireo_gilvus	real	0.272935458625347	0.5	0.271964589480062	NA	0.5	0	NA	0.5	0.00336835731886487	NA	13.4126886502206	7.03225274738652	6.38043590283411	0.0128985007545483	0.987101499245452	0.367966969124967	mig	Vireonidae
Vireo_gilvus	hypo_br	0.0582921085397424	1	0.179114818433456	NA	0.5	1.95977442567496e-05	NA	1	0.113432417319559	NA	NA	NA	NA	0.289859713791358	0.710140286208642	0.685312952409985	mig	Vireonidae
Vireo_gilvus	hypo_wi	0.125768811521581	0.5	0.0819191298338038	NA	1	0.288959726513729	NA	1	0.127264808870281	NA	NA	NA	NA	0.86259477250994	0.13740522749006	0.565392676327469	mig	Vireonidae
Vireo_griseus	real	0.32036448531623	0.5	0.208729715096162	NA	0.5	0	NA	0.5	0	NA	12.14769353717	5.74064773351792	6.40704580365207	0.638984696879613	0.361015303120387	0.213933791701059	res	Vireonidae
Vireo_griseus	hypo_br	0.441964153032087	0.5	0.304252645187957	NA	1	0.537383132739807	NA	0.5	0.339326436992602	NA	NA	NA	NA	0.598784938220451	0.401215061779549	0.31452723819443	res	Vireonidae
Vireo_griseus	hypo_wi	0.194631825776973	1	0.240081812627508	NA	0.5	0.0256467854875566	NA	1	0.454844943194591	NA	NA	NA	NA	0.702329217823389	0.297670782176611	0.47211138059383	res	Vireonidae
